slide_id,水用量（kg/m3）,水泥矿物组分_C3S（%）,水泥矿物组分_C2S（%）,水泥矿物组分_C3A（%）,水泥矿物组分_C4AF（%）,胶砂抗压_7d（MPa）,胶砂抗压_28d（MPa）,胶砂抗折3d（MPa）,胶砂抗折7d（MPa）,胶砂抗折_28d（MPa）,水化热_1d（J/g）,水化热_3d（J/g）,水化热_7d（J/g）,水泥用量（kg/m3）,FA化学组分_SiO2（%）,FA化学组分_Al2O3（%）,FA化学组分_Fe2O3（%）,FA化学组分_CaO（%）,粉煤灰用量（kg/m3）,砂表观密度（kg/m3）,砂用量（kg/m3）,石1坚固性（%）,石1压碎指标（%）,石1用量（kg/m3）,石2坚固性（%）,石2压碎指标（%）,石2用量（kg/m3）,石3坚固性（%）,石3压碎指标（%）,石3用量（kg/m3）,外加剂1用量（%）,外加剂2用量（%）,28d抗压强度
17,92.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,147.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,37.0,2650,469.0,0.03,0.0658,509.7,0.013996999999999999,0.048650000000000006,339.8,0.008473000000000001,0.04703,849.5,0.0025,5e-05,28.0
18,113.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,201.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,50.0,2650,543.0,0.03,0.0658,675.9,0.013986,0.048650000000000006,826.1,0.0,0.0,0.0,0.0034999999999999996,5e-05,28.8
19,115.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,184.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,46.0,2650,567.0,0.03,0.0658,671.4,0.013986,0.048650000000000006,820.6,0.0,0.0,0.0,0.0034999999999999996,5e-05,24.8
20,115.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,184.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,46.0,2650,588.0,0.03,0.0658,661.95,0.013986,0.048650000000000006,809.05,0.0,0.0,0.0,0.0034999999999999996,5e-05,24.2
21,117.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,170.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,43.0,2650,611.0,0.03,0.0658,656.1,0.013986,0.048650000000000006,801.9,0.0,0.0,0.0,0.0034999999999999996,5e-05,19.7
22,119.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,158.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,40.0,2650,634.0,0.03,0.0658,649.35,0.013986,0.048650000000000006,793.65,0.0,0.0,0.0,0.0034999999999999996,5e-05,18.3
23,90.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,200.0,0.0,0.0,0.0,0.0,0.0,2650,521.0,0.03,0.0658,494.7,0.013996999999999999,0.048650000000000006,329.8,0.008402,0.04703,824.5,0.005,1e-05,38.0
24,91.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,182.0,0.0,0.0,0.0,0.0,0.0,2650,547.0,0.03,0.0658,492.0,0.013996999999999999,0.048650000000000006,328.0,0.008402,0.04764,820.0,0.005,1e-05,35.9
25,91.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,162.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,40.0,2650,318.0,0.03,0.0658,491.7,0.013996999999999999,0.048650000000000006,327.8,0.008402,0.04764,819.5,0.005,1.5e-05,36.7
26,92.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,147.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,37.0,2650,543.0,0.03,0.0658,489.3,0.013996999999999999,0.048650000000000006,326.2,0.008402,0.04787,815.5,0.005,1.5e-05,29.4
27,117.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,213.0,0.0,0.0,0.0,0.0,0.0,2650,690.0,0.03,0.0658,630.45,0.013986,0.048650000000000006,770.55,0.0,0.0,0.0,0.005,1e-05,29.7
28,117.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,234.0,0.0,0.0,0.0,0.0,0.0,2650,662.0,0.03,0.0658,633.15,0.013986,0.048650000000000006,773.85,0.0,0.0,0.0,0.005,1e-05,31.7
29,95.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,152.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,38.0,2650,543.0,0.03,0.06517,489.3,0.014364,0.048650000000000006,326.2,0.011136,0.050730000000000004,815.5,0.005,1.5e-05,24.6
30,100.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,178.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,44.0,2650,524.0,0.03,0.06517,482.4,0.014364,0.048650000000000006,643.2,0.015531999999999999,0.05614,482.4,0.002,4e-05,28.1
31,119.0,0.532067,0.205596,0.020342,0.172802,39.5,54.8,6.0,7.2,8.3,167.28,214.28,248.81,216.0,0.0,0.0,0.0,0.0,0.0,2650,689.0,0.03,0.0658,630.45,0.013986,0.048650000000000006,770.55,0.0,0.0,0.0,0.005,1e-05,24.3
32,95.0,0.532067,0.205596,0.020342,0.172804,39.5,54.8,6.0,7.2,8.3,167.28,214.13,246.54,121.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,52.0,2650,555.0,0.03,0.0658,474.3,0.013996999999999999,0.048650000000000006,316.2,0.009846,0.05114,790.5,0.005,1.5e-05,21.1
33,120.0,0.532067,0.205596,0.020342,0.172802,39.5,54.8,6.0,7.2,8.3,167.28,214.265,248.81,192.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,48.0,2650,659.0,0.03,0.0658,630.0,0.013986,0.048650000000000006,770.0,0.0,0.0,0.0,0.005,1.5e-05,24.7
34,119.0,0.527706,0.2052482,0.026597,0.175407,42.1,55.6,6.5,7.7,8.8,169.56,214.63,261.49,216.0,0.0,0.0,0.0,0.0,0.0,2650,689.0,0.03,0.0658,630.45,0.013986,0.048650000000000006,770.55,0.0,0.0,0.0,0.005,1e-05,21.2
35,95.0,0.527706,0.2053152,0.026597,0.175424,42.1,55.6,6.5,7.7,8.8,169.56,214.615,259.46,121.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,52.0,2650,555.0,0.03,0.0658,474.3,0.013996999999999999,0.048650000000000006,316.2,0.009846,0.05114,790.5,0.005,1.5e-05,19.2
36,120.0,0.527706,0.2052482,0.026597,0.175407,42.1,55.6,6.5,7.7,8.8,169.56,214.615,261.49,192.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,48.0,2650,659.0,0.03,0.0658,630.0,0.013986,0.048650000000000006,770.0,0.0,0.0,0.0,0.005,1.5e-05,23.6
37,160.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,457.0,0.0,0.0,0.0,0.0,0.0,2650,589.0,0.004346,0.06704,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,46.6
38,159.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,398.0,0.0,0.0,0.0,0.0,0.0,2650,626.0,0.004346,0.06704,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,42.2
39,159.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,353.0,0.0,0.0,0.0,0.0,0.0,2650,652.0,0.004346,0.06704,1294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,36.9
40,159.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,317.0,0.0,0.0,0.0,0.0,0.0,2650,675.0,0.004346,0.06704,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,32.4
41,156.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,401.0,0.43770000000000003,0.2737,0.172,0.0409,45.0,2650,595.0,0.004346,0.06704,1262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,44.5
42,156.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,351.0,0.43770000000000003,0.2737,0.172,0.0409,39.0,2650,612.0,0.004346,0.06704,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,43.1
43,156.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,312.0,0.43770000000000003,0.2737,0.172,0.0409,35.0,2650,647.0,0.004615,0.06704,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,37.8
44,155.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,279.0,0.43770000000000003,0.2737,0.172,0.0409,31.0,2650,669.0,0.004975,0.06704,1328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,32.5
45,153.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,371.5,0.43770000000000003,0.2737,0.172,0.0409,66.0,2650,588.0,0.004346,0.06704,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,42.3
46,153.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,325.5,0.43770000000000003,0.2737,0.172,0.0409,57.0,2650,615.0,0.004346,0.06704,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,40.9
47,153.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,289.0,0.43770000000000003,0.2737,0.172,0.0409,51.0,2650,639.0,0.004975,0.06704,1324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,35.1
48,152.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,258.0,0.43770000000000003,0.2737,0.172,0.0409,46.0,2650,660.0,0.004975,0.06704,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,29.1
49,150.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,343.5,0.43770000000000003,0.2737,0.172,0.0409,86.0,2650,589.0,0.004346,0.06704,1285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,40.2
50,150.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,300.0,0.43770000000000003,0.2737,0.172,0.0409,75.0,2650,617.0,0.004346,0.06704,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,36.6
51,149.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,264.0,0.43770000000000003,0.2737,0.172,0.0409,66.0,2650,642.0,0.004975,0.06704,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,31.2
52,149.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,238.0,0.43770000000000003,0.2737,0.172,0.0409,60.0,2650,660.0,0.004975,0.06704,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,27.7
